facility_id,nama,jenis_raw,jenis_std,energy_group,tahun_operasi,regpln,provinsi,longitude,latitude
344,PLTD Sentawar Mitsubishi 13,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
343,PLTD Sentawar Mitsubishi 14,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
342,PLTD Sentawar Mitsubishi 15,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,115.80137000000002,-0.2423899999999434
916,PLTD Senyiur,PLTD,PLTD,non_renewable,2002,Kalimantan,Kalimantan Timur,116.62281000000009,0.3120800000000372
917,PLTD Senyiur Pemkab,PLTD,PLTD,non_renewable,2002,Kalimantan,Kalimantan Timur,116.62294325000003,0.312060964000068
688,PLTD Sepaso,PLTD,PLTD,non_renewable,2000,Kalimantan,Kalimantan Timur,117.56100000000004,0.7560000000000286
691,PLTD Sepaso Altrak,PLTD,PLTD,non_renewable,2015,Kalimantan,Kalimantan Timur,117.56112373200006,0.7558381970000596
690,PLTD Sepaso KPC,PLTD,PLTD,non_renewable,2015,Kalimantan,Kalimantan Timur,117.5610095180001,0.7558477140000264
689,PLTD Sepaso Pemkab,PLTD,PLTD,non_renewable,2015,Kalimantan,Kalimantan Timur,117.56113325,0.7559809640000594
694,PLTD Sewa Sentawar Pemkab Kubar,PLTD,PLTD,non_renewable,2016,Kalimantan,Kalimantan Timur,115.80111421400012,-0.2420095179999748
941,PLTD Tabang,PLTD,PLTD,non_renewable,1995,Kalimantan,Kalimantan Timur,115.92675000000008,0.6734200000000214
932,PLTD Tabisaq,PLTD,PLTD,non_renewable,1996,Kalimantan,Kalimantan Timur,115.92136000000004,-0.4966399999999566
975,PLTD Talisayan,PLTD,PLTD,non_renewable,2013,Kalimantan,Kalimantan Timur,118.17703000000006,1.6050600000000372
131,PLTD Talisayan (Cummins),PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,118.1770255130001,1.605145059000051
135,PLTD Talisayan (MAN),PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,118.1770255130001,1.605145059000051
137,PLTD Talisayan (MTU),PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,118.1770255130001,1.605145059000051
111,PLTD Talisayan (Mitsubishi),PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,118.1770255130001,1.605145059000051
976,PLTD Talisayan PT IPB,PLTD,PLTD,non_renewable,2013,Kalimantan,Kalimantan Timur,118.17719180300004,1.6050504820000242
974,PLTD Talisayan Pemkab,PLTD,PLTD,non_renewable,1999,Kalimantan,Kalimantan Timur,118.17703951800002,1.604936268000074
655,PLTD Tanah Grogot,PLTD,PLTD,non_renewable,1996,Kalimantan,Kalimantan Timur,116.18000000000006,-1.8879999999999768
634,PLTD Tanjung,PLTD,PLTD,non_renewable,1977,Kalimantan,Kalimantan Timur,115.93100000000004,-2.182999999999936
668,PLTD Tanjung Aru,PLTD,PLTD,non_renewable,2002,Kalimantan,Kalimantan Timur,116.58400000000006,-2.1749999999999545
973,PLTD Tanjung Batu,PLTD,PLTD,non_renewable,2000,Kalimantan,Kalimantan Timur,118.09250000000009,2.278280000000052
936,PLTD Tanjung Isuy,PLTD,PLTD,non_renewable,1994,Kalimantan,Kalimantan Timur,116.14019000000008,-0.5137499999999591
959,PLTD Tubaan,PLTD,PLTD,non_renewable,1987,Kalimantan,Kalimantan Timur,117.85928,1.81842000000006
645,PLTG Peaking #01,PLTG,PLTG,non_renewable,2014,Kalimantan,Kalimantan Timur,117.05160263000003,-0.3839939879999292
2345,PLTG Peaking #02,PLTG,PLTG,non_renewable,2014,Kalimantan,Kalimantan Timur,117.05159668100008,-0.3843271129999266
646,PLTG Sambera #01,PLTG,PLTG,non_renewable,2009,Kalimantan,Kalimantan Timur,117.29149793400006,-0.3166519719999314
2343,PLTG Sambera #02,PLTG,PLTG,non_renewable,2009,Kalimantan,Kalimantan Timur,117.29165497800012,-0.3166519719999314
659,PLTG Senipah #01,PLTG,PLTG,non_renewable,2014,Kalimantan,Kalimantan Timur,117.13536405800004,-0.9876281779999658
2344,PLTG Senipah #02,PLTG,PLTG,non_renewable,2015,Kalimantan,Kalimantan Timur,117.13560676300006,-0.9874782719999756
3196,PLTGU Senipah (ST),PLTGU,PLTGU,non_renewable,2020,Kalimantan,Kalimantan Timur,117.13608265500012,-0.9872236689999454
644,PLTGU Tanjung Batu #01,PLTGU,PLTGU,non_renewable,1997,Kalimantan,Kalimantan Timur,117.0513075770001,-0.3816002509999521
2341,PLTGU Tanjung Batu #02,PLTGU,PLTGU,non_renewable,1997,Kalimantan,Kalimantan Timur,117.05130043800013,-0.3813218539999639
2342,PLTGU Tanjung Batu #03,PLTGU,PLTGU,non_renewable,1998,Kalimantan,Kalimantan Timur,117.0513075770001,-0.3809863499999437
