objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
163,Danau/Situ,6445A,ID-PA.132,Noname 15,"Kec. Mamberamo ilir, Kab. Mamberamo Raya",Papua,23.23,Kecil,-,1.16149998
164,Danau/Situ,6454A,ID-PA.65,Danau Aterorani,"Kec.Kosiwo, Kab.Kepulauan Yapen",Papua,47.52,Kecil,-,2.37599993
165,Danau/Situ,6455A,ID-PA.80,Danau Bira,"Kec.Mamberamo Tengah, Kab.Mamberamo Raya",Papua,549.67,Kecil,-,27.48349953
166,Danau/Situ,6456A,ID-PA.49,Danau Rombebai,"Kec.Mamberamo Hilir, Kab.Mamberamo Raya",Papua,14228.35,Besar,Tektonik,711.41699219
167,Danau/Situ,6458A,ID-PA.29,Telaga Ebambon,"Kec.Windesi, Kab.Kepulauan Yapen",Papua,27.55,Kecil,-,1.37750006
168,Danau/Situ,6461A,ID-PA.36,Danau Aruwe,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,141.6,Kecil,-,7.07999992
169,Danau/Situ,6462A,ID-PA.86,Danau Bare,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,158.62,Kecil,-,7.93100023
170,Danau/Situ,6463A,ID-PA.35,Danau Barikua,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,57.01,Kecil,-,2.85050011
171,Danau/Situ,6464A,ID-PA.104,Danau Berdekam,"Kec.Megambilis, Kab.Mamberamo Tengah",Papua,38.8,Kecil,-,1.94000006
172,Danau/Situ,6465A,ID-PA.87,Danau Boire,"Kec.Pantai Timur, Kab.Sarmi",Papua,299.85,Kecil,-,14.99250031
173,Danau/Situ,6466A,ID-PA.46,Danau Cipto,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,97.05,Kecil,-,4.85249996
174,Danau/Situ,6468A,ID-PA.85,Danau Kunte,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,318.09,Kecil,-,15.90450001
175,Danau/Situ,6469A,ID-PA.38,Danau Piamfrom,"Kec.Bonggo, Kab.Sarmi",Papua,216.14,Kecil,-,10.80700016
176,Danau/Situ,6470A,ID-PA.45,Danau Sejarah,"Kec.Megambilis, Kab.Mamberamo Tengah",Papua,93.35,Kecil,-,4.66750002
177,Danau/Situ,6472A,ID-PA.44,Danau Uya,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,133.08,Kecil,-,6.65399981
178,Danau/Situ,6473A,ID-PA.27,Danau Wae,"Kec.Pantai Timur, Kab.Sarmi",Papua,52.32,Kecil,-,2.61599994
