"objectid_1,""namobj"",""jnspls"",""thnopr"",""regpln"",""srs_id"",""longitude"",""latitude"""
"58,""PLTD Sawai Baru (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.91072184400002"",""0.8832417920000353"""
"59,""PLTD Sawai Baru (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.91071111500003"",""0.8833812500000704"""
"60,""PLTD Sawai Baru (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.91063833500004"",""0.8832178890000364"""
"61,""PLTD Sawai (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.92603672300004"",""0.8849626430000512"""
"62,""PLTD Sawai (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.92604342900006"",""0.8849579500000573"""
"63,""PLTD Sawai (MTU)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.92604275800011"",""0.8849653250000529"""
"64,""PLTD Sawai (MTU)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.92604887000005"",""0.884964453000066"""
"65,""PLTD Sukaharja (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97675164800006"",""-1.8016831089999528"""
"66,""PLTD Sukaharja (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97685742900006"",""-1.801698273999932"""
"67,""PLTD Sukaharja (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97674509300003"",""-1.8016174339999793"""
"68,""PLTD Sukaharja (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97674509300003"",""-1.8016067099999304"""
"69,""PLTD Sukaharja (Deutz AG)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97671230000009"",""-1.8016830469999263"""
"70,""PLTD Sukaharja (Ruston)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97669900000005"",""-1.8021479999999315"""
"71,""PLTD Sukaharja (Ruston)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97669900000005"",""-1.8021479999999315"""
"72,""PLTD Teluk Melano (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.94976379700006"",""-1.1354507319999243"""
"73,""PLTD Teluk Melano (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.94972088100008"",""-1.1354507319999243"""
"74,""PLTD Teluk Melano (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.94979598300006"",""-1.1353970979999417"""
"75,""PLTD Teluk Melano (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.94973161000007"",""-1.1354829119999295"""
"76,""PLTD Teluk Melano (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.94980671200005"",""-1.1354292779999469"""
"77,""PLTD Sukaharja (Wartsila)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97696110000004"",""-1.8021359999999618"""
"78,""PLTD Sukaharja (Wartsila)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97671964500006"",""-1.801781301999938"""
"79,""PLTD Sukaharja (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.97672157900007"",""-1.8018105349999587"""
"80,""PLTD Sungai Guntung (Daihatsu)"",""PLTD"",""2022"",""Sumatera"",""4326"",""103.61053400000009"",""0.2912470000000553"""
"81,""PLTD Sungai Guntung (Daihatsu)"",""PLTD"",""2022"",""Sumatera"",""4326"",""103.61053000000004"",""0.29124100000007047"""
"82,""PLTD Telaga (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""113.32974338500003"",""-2.421045658999958"""
"83,""PLTD Telaga (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""113.32974338500003"",""-2.421045658999958"""
"84,""PLTD Telaga (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""113.32974338500003"",""-2.421045658999958"""
"85,""PLTD Telaga (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""113.32974338500003"",""-2.421045658999958"""
"86,""PLTD Tumbang Senamang (BF6)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.42500450700004"",""-1.1601726469999676"""
"87,""PLTD Tumbang Senamang (BF6)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.42500450700004"",""-1.1601726469999676"""
"88,""PLTD Tumbang Senamang (MWM)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.42500450700004"",""-1.1601726469999676"""
"89,""PLTD Tumbang Senamang (Cummins)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.42500450700004"",""-1.1601726469999676"""
"90,""PLTD Tumbang Senamang (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""112.42500450700004"",""-1.1601726469999676"""
"91,""PLTD Pagatan (Cummins)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""113.3298520300001"",""-3.2563938569999777"""
"92,""PLTD Pagatan (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""113.3298520300001"",""-3.2563938569999777"""
"93,""PLTD Pagatan (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""113.3298520300001"",""-3.2563938569999777"""
"94,""PLTD Pagatan (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""113.3298520300001"",""-3.2563938569999777"""
"95,""PLTD Menyurai (Deutz MWM)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.51082756800008"",""0.08557051200006072"""
"96,""PLTD Menyurai (Caterpillar)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.51075137400005"",""0.0855460210000274"""
"97,""PLTD Menyurai (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.51083845300008"",""0.08552969300006907"""
"98,""PLTD Menyurai (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.51082348700004"",""0.08553785700001981"""
"99,""PLTD Menyurai (Deutz MWM)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.51079195200003"",""0.08554832700002635"""
"100,""PLTD Menyurai (Deutz MWM)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.51080268100009"",""0.0856985310000482"""
"101,""PLTD Menyurai (Deutz MWM)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.51075976600004"",""0.08570925900005477"""
"102,""PLTD Menyurai (SWD)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.51073830800004"",""0.08566634400006023"""
"103,""PLTD Sekadau (MTU)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""110.85214855400005"",""-0.008016326999950252"""
"104,""PLTD PT. Aggreko Energy Services Indonesia Unit 2 Selat Panjang qq PT. PLN (Persero) Unit Induk Wilayah Riau dan Kepulauan Riau"",""PLTD"",""2022"",""Sumatera"",""4326"",""102.64580000000007"",""0.9876000000000431"""
"105,""PLTD PT. Aggreko Energy Services Indonesia Unit 4 Selat Panjang qq PT. PLN (Persero) Unit Induk Wilayah Riau dan Kepulauan Riau"",""PLTD"",""2022"",""Sumatera"",""4326"",""102.64580000000007"",""0.9876000000000431"""
"106,""PLTD PT. Aggreko Energy Services Indonesia Unit 5 Selat Panjang qq PT. PLN (Persero) Unit Induk Wilayah Riau dan Kepulauan Riau"",""PLTD"",""2022"",""Sumatera"",""4326"",""102.64580000000007"",""0.9876000000000431"""
"107,""PLTD Sarappo Lompo (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.26608660900001"",""-4.8819819789999315"""
"108,""PLTD PT. Aggreko Energy Services Indonesia Unit 6 Selat Panjang qq PT. PLN (Persero) Unit Induk Wilayah Riau dan Kepulauan Riau"",""PLTD"",""2022"",""Sumatera"",""4326"",""102.64580000000007"",""0.9876000000000431"""
"109,""PLTD PT. Aggreko Energy Services Indonesia Unit 7 Selat Panjang qq PT. PLN (Persero) Unit Induk Wilayah Riau dan Kepulauan Riau"",""PLTD"",""2022"",""Sumatera"",""4326"",""102.64580000000007"",""0.9876000000000431"""
"110,""PLTD PT. Aggreko Energy Services Indonesia Unit 8 Selat Panjang qq PT. PLN (Persero) Unit Induk Wilayah Riau dan Kepulauan Riau"",""PLTD"",""2022"",""Sumatera"",""4326"",""102.64580000000007"",""0.9876000000000431"""
"111,""PLTD Talisayan (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""118.1770255130001"",""1.6051450590000513"""
"112,""PLTD Bunyu (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""117.84539678300007"",""3.469843099000059"""
"113,""PLTD Karanrang (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.3837377110001"",""-4.8567513999999505"""
"114,""PLTD Salemo (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.46947726400003"",""-4.692059204999964"""
"115,""PLTD Salemo (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.46947726400003"",""-4.692059204999964"""
"116,""PLTD Kulambing (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.43144569700007"",""-4.785920651999959"""
"117,""PLTD Kulambing (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.43144764500005"",""-4.785928696999974"""
"118,""PLTD Kulambing (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.43144630400002"",""-4.785928028999933"""
"119,""PLTD Kulambing (Perkins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.4314449630001"",""-4.785930032999943"""
"120,""PLTD Sabutung (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.43403503000002"",""-4.751847131999966"""
"121,""PLTD Sabutung (Komatsu)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.4340230140001"",""-4.7519358579999675"""
"122,""PLTD Sabutung (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.43245963800007"",""-4.7500932019999595"""
"123,""PLTD Balang Lompo Deutz#3"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.39732833000005"",""-4.944649987999981"""
"124,""PLTD Balang Lompo (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.3973052020001"",""-4.9446759569999585"""
"125,""PLTD Balang Lompo (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.39733068300006"",""-4.94473942299993"""
"126,""PLTD Karanrang (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.3837377110001"",""-4.8567513999999505"""
"127,""PLTD Karanrang (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.3837377110001"",""-4.8567513999999505"""
"128,""PLTD Talisayan (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""118.1770255130001"",""1.6051450590000513"""
"129,""PLTD Badi (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.28646068900002"",""-4.9675625629999445"""
"130,""PLTD Badi (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.28646068900002"",""-4.9675625629999445"""
"131,""PLTD Talisayan (Cummins)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""118.1770255130001"",""1.6051450590000513"""
"132,""PLTD Badi (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.28645928800006"",""-4.967579264999927"""
"133,""PLTD Talisayan (Cummins)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""118.1770255130001"",""1.6051450590000513"""
"134,""PLTD Sarappo Lompo (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.26608660900001"",""-4.8819819789999315"""
"135,""PLTD Talisayan (MAN)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""118.1770255130001"",""1.6051450590000513"""
"136,""PLTD Sarappo Lompo (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.26608660900001"",""-4.8819819789999315"""
"137,""PLTD Talisayan (MTU)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""118.1770255130001"",""1.6051450590000513"""
"138,""PLTD Sarappo Lompo (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.26608660900001"",""-4.8819819789999315"""
"139,""PLTD Kambuno (Cummins)"",""PLTD"",""2022"","" "",""4326"",""120.41894000000002"",""-5.096429999999941"""
"140,""PLTD Kambuno (Deutz)"",""PLTD"",""2022"","" "",""4326"",""120.41893000000005"",""-5.096429999999941"""
"141,""PLTD Kambuno (Deutz)"",""PLTD"",""2022"","" "",""4326"",""120.41893000000005"",""-5.0963899999999285"""
"142,""PLTD Pulau Pasi (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.42042000000004"",""-6.175769999999943"""
"143,""PLTD Pulau Pasi (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.42042000000004"",""-6.175769999999943"""
"144,""PLTD Pulau Pasi (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.42042000000004"",""-6.175769999999943"""
"145,""PLTD Kembang Ragi (Mitsubishi)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.61865000000012"",""-7.0625199999999495"""
"146,""PLTD Kembang Ragi (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.61865000000012"",""-7.0625199999999495"""
"147,""PLTD Kembang Ragi (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.61865000000012"",""-7.0625199999999495"""
"148,""PLTD Kembang Ragi (Volvo)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.61865000000012"",""-7.0625199999999495"""
