objectid_1,namobj,jnspls,thnopr,regpln,srs_id,longitude,latitude
780,PLTD Nanga Merakai,PLTD,2011,Kalimantan,4326,111.51730000000003,0.6876330000000621
781,PLTD Ketungau,PLTD,1993,Kalimantan,4326,111.61960000000005,0.3566333330000475
782,PLTD Tebidah,PLTD,1997,Kalimantan,4326,112.18393000000003,0.25215000000002874
783,PLTD Sinar Pekayau,PLTD,1997,Kalimantan,4326,111.08246700000007,0.3329833000000235
784,PLTD Nanga Lebang,PLTD,1987,Kalimantan,4326,111.64429900000005,0.2178800000000365
785,PLTD Sidomulyo Pinoh,PLTD,2012,Kalimantan,4326,111.70666700000004,-0.3421666669999581
786,PLTD Kota Baru,PLTD,1997,Kalimantan,4326,111.54205000000007,-0.7995829999999273
787,PLTD Serawai,PLTD,1988,Kalimantan,4326,112.438533,-0.33121899999997595
788,PLTD Manukung,PLTD,1998,Kalimantan,4326,112.22738300000003,-0.41828329999992775
789,PLTD Nanga Ella,PLTD,2005,Kalimantan,4326,112.00305600000002,-0.3983709999999405
790,PLTD Nanga Sayan,PLTD,1993,Kalimantan,4326,111.67616700000008,-0.7135333329999298
791,PLTD Bora,PLTD,1997,Kalimantan,4326,111.76416700000004,-0.6284166999999456
792,PLTMH Bora,PLTMH,0,Kalimantan,4326,111.77499720000009,-0.6329194399999665
793,PLTD Tontang,PLTD,1989,Kalimantan,4326,112.22263300000009,-0.26849999999996044
794,PLTD Kalan,PLTD,1998,Kalimantan,4326,111.74133300000005,-0.33589999999992415
795,PLTD Kayan,PLTD,1993,Kalimantan,4326,111.68950000000007,-0.1718329999999355
796,PLTD Kemangai,PLTD,1988,Kalimantan,4326,112.71035000000006,-0.24348329999997986
797,PLTD Sawai,PLTD,0,Kalimantan,4326,112.92658500000005,0.8848750000000223
798,PLTD Semitau,PLTD,2003,Kalimantan,4326,111.96015000000006,0.5431500000000256
799,PLTD Bunut,PLTD,1986,Kalimantan,4326,112.65503300000012,0.5281830000000696
800,PLTD Jongkong,PLTD,1987,Kalimantan,4326,112.277691,0.6651060000000371
801,PLTD Embaloh,PLTD,1995,Kalimantan,4326,112.60169400000007,0.8306590000000256
802,PLTD Lanjak,PLTD,2005,Kalimantan,4326,112.23838,1.034490000000062
803,PLTD Tepuai,PLTD,1994,Kalimantan,4326,112.30313870000009,0.37038278600005015
804,PLTD Seberuang,PLTD,1993,Kalimantan,4326,111.88763330000006,0.464567000000045
805,PLTD Nanga Erak,PLTD,1990,Kalimantan,4326,113.15358300000003,0.37229166700007
806,PLTD Belikai,PLTD,0,Kalimantan,4326,112.1370333000001,0.3304972220000195
807,PLTD Kantuk,PLTD,1987,Kalimantan,4326,110.60652500000003,0.12379100000003973
808,PLTD Piasak,PLTD,1996,Kalimantan,4326,112.72273330000007,0.6593670000000316
809,PLTD Nibung,PLTD,1996,Kalimantan,4326,112.17826670000011,0.33431000000007316
810,PLTD Ujung Said,PLTD,1984,Kalimantan,4326,112.3775667000001,0.6695670000000291
811,PLTD Pulau Majang,PLTD,1999,Kalimantan,4326,111.99412000000007,0.9014800000000491
812,PLTD Ulak Pauk,PLTD,1997,Kalimantan,4326,112.4911833000001,1.0615170000000376
813,PLTD Badau,PLTD,2015,Kalimantan,4326,111.90277000000009,1.043800000000033
814,PLTD Jasa,PLTD,2015,Kalimantan,4326,111.14763300000004,1.0041330000000244
815,PLTMH Serawak Energi BHD Badau (B),PLTMH,0,Kalimantan,4326,111.87190179900006,1.033310904000075
816,PLTMH Serawak Energi BHD Balai Karangan (B),PLTMH,0,Kalimantan,4326,110.35502959900003,0.9878275710000253
817,PLTD Sewatama Semboja,PLTD,0,Kalimantan,4326,110.56045221400007,0.13450196400003733
818,PLTD Sewatama Semboja 2,PLTD,0,Kalimantan,4326,110.56054739300004,0.13450196400003733
819,PLTD Aggreko Semboja,PLTD,0,Kalimantan,4326,110.56046173200008,0.13436871400006112
820,PLTD Koperasi IP Semboja,PLTD,0,Kalimantan,4326,110.56055691000006,0.1343401610000683
821,PLTD ENSAS Sekadau,PLTD,0,Kalimantan,4326,110.88979900000004,0.02113700000006702
822,PLTD Sewatama Menyurai 1,PLTD,0,Kalimantan,4326,111.51064916800004,0.08551560000006475
823,PLTD Sewatama Menyurai 2,PLTD,0,Kalimantan,4326,111.51078241700009,0.08550608200005172
824,PLTD Aggreko Menyurai,PLTD,0,Kalimantan,4326,111.51063965000009,0.08536331400006247
825,PLTD Sewatama Pinoh,PLTD,0,Kalimantan,4326,111.70680025000007,-0.3421666669999581
826,PLTD Makro SPE Pinoh,PLTD,0,Kalimantan,4326,111.70693350000005,-0.3421571489999451
827,PLTD Sewatama Sibau,PLTD,0,Kalimantan,4326,112.92670873200007,0.8848750000000223
828,PLTD Makro SPE Sibau,PLTD,0,Kalimantan,4326,112.92681342800006,0.8848654820000661
829,PLTD Makro SPE Balai Karanga,PLTD,0,Kalimantan,4326,110.82788121400006,0.4351404820000653
830,PLTD Makro SPE Semitau,PLTD,0,Kalimantan,4326,111.96030228600006,0.5431500000000256
831,PLTD Makro SPE Kota Baru,PLTD,0,Kalimantan,4326,111.54205000000007,0.7995833000000516
832,PLTD Makro SPE Tepuai,PLTD,0,Kalimantan,4326,112.30328146800002,0.3703732680000371
833,PLTD Makro Sintang,PLTD,0,Kalimantan,4326,111.51075386400004,0.0853728320000755
